iter	RMSE
0	0.08837001141
1	0.08834676214
2	0.0883354756
3	0.08831156789
4	0.08830247468
5	0.0882889183
6	0.08828204302
7	0.08825745099
8	0.08824415179
9	0.08821637971
10	0.0881928238
11	0.08818043488
12	0.08816842802
13	0.08816748583
14	0.08814983415
15	0.08810853659
16	0.08809388963
17	0.08809367132
18	0.08808686215
19	0.08807140974
20	0.08805793095
21	0.0880477682
22	0.08802692879
23	0.08799990251
24	0.08799990249
25	0.0879953351
26	0.08799340067
27	0.08798098724
28	0.08797162936
29	0.08795916566
30	0.08793877008
31	0.08792306152
32	0.08789926228
33	0.08789355045
34	0.08788938051
35	0.0878893805
36	0.0878626336
37	0.08785284839
38	0.08785282438
39	0.08784574506
40	0.08783688208
41	0.08782397618
42	0.087817538
43	0.08781277018
44	0.08781103728
45	0.0878053327
46	0.08780321323
47	0.08779598037
48	0.08778690736
49	0.08777687881
50	0.08776537532
51	0.08774429497
52	0.087730952
53	0.08773014066
54	0.08771775105
55	0.08770244066
56	0.08770102374
57	0.08767867374
58	0.08767058851
59	0.08764948478
60	0.08763363317
61	0.08761336228
62	0.0876048404
63	0.08759791432
64	0.08757533211
65	0.08756975597
66	0.08756932612
67	0.08756586345
68	0.08755380983
69	0.0875306186
70	0.08752612671
71	0.08751264499
72	0.08751000455
73	0.08750509368
74	0.08749928543
75	0.08749668875
76	0.08749389478
77	0.08747677519
78	0.08746746885
79	0.08745622714
80	0.08743763661
81	0.08743576039
82	0.08743181027
83	0.08743181025
84	0.08741199155
85	0.08739986597
86	0.0873895988
87	0.08738958386
88	0.08738252743
89	0.08737572566
90	0.08737245272
91	0.08736370575
92	0.08736025873
93	0.08735802726
94	0.08734704636
95	0.08733730742
96	0.08732920094
97	0.08732533914
98	0.08732119692
99	0.08730171955
100	0.08730046779
101	0.08729712397
102	0.08729353671
103	0.08728236767
104	0.08725930614
105	0.08725907421
106	0.08725421938
107	0.08724797821
108	0.0872284479
109	0.0872284479
110	0.08722701314
111	0.08722548518
112	0.08720145326
113	0.08718286759
114	0.08717838779
115	0.08716373985
116	0.08715940088
117	0.08715364467
118	0.08714076179
119	0.08713333505
120	0.08713316297
121	0.08712466537
122	0.08711927636
123	0.08711203652
124	0.08709394287
125	0.08709167882
126	0.08708039204
127	0.08708039204
128	0.08704307999
129	0.08704307412
130	0.0870418189
131	0.08703454226
132	0.08703429123
133	0.08702716427
134	0.08702221729
135	0.08701925444
136	0.08701909767
137	0.08701909758
138	0.0870136762
139	0.08698961599
140	0.08696885335
141	0.08693873699
142	0.08691635556
143	0.08691591849
144	0.08691591849
145	0.08689965227
146	0.08689204256
147	0.08688467566
148	0.08688135247
149	0.0868783734
150	0.08687457513
151	0.08687175753
152	0.08687136038
153	0.0868538268
154	0.08684898831
155	0.08684545613
156	0.08683744743
157	0.08683444124
158	0.08683073715
159	0.08682995537
160	0.08682973781
161	0.08682083866
162	0.08681936553
163	0.08680857183
164	0.08680452092
165	0.08680080238
166	0.08679445558
167	0.08678563224
168	0.0867671771
169	0.08675181288
170	0.08674696959
171	0.08674682388
172	0.08674682386
173	0.08673680104
174	0.08673456771
175	0.08672903623
176	0.08671509447
177	0.08671255401
178	0.08670364045
179	0.08670364044
180	0.08670266677
181	0.08669125167
182	0.08669125167
183	0.0866908334
184	0.08668745094
185	0.08667925456
186	0.0866608565
187	0.08666081398
188	0.08664403676
189	0.08662715585
190	0.08662509451
191	0.08662410892
192	0.08661880191
193	0.08661382972
194	0.08660015994
195	0.08658813505
196	0.08656253165
197	0.08654770962
198	0.08654770962
199	0.08652397317
200	0.08651452021
201	0.08651028947
202	0.08650700677
203	0.08650129962
204	0.08650129923
205	0.08648933234
206	0.08647026597
207	0.08647026596
208	0.08645680826
209	0.08644011485
210	0.08642683125
211	0.08642165474
212	0.08641347817
213	0.08639725897
214	0.08639644416
215	0.08638846477
216	0.08637951403
217	0.08637690519
218	0.08637254842
219	0.08637247792
220	0.08634799729
221	0.08634791592
222	0.08632794096
223	0.08632794095
224	0.08631567066
225	0.08631180482
226	0.08629497959
227	0.08627542755
228	0.08625517826
229	0.0862493289
230	0.08622751211
231	0.08621547784
232	0.08621515326
233	0.08620827949
234	0.08620822919
235	0.08620563939
236	0.08620325673
237	0.08618676694
238	0.08616679287
239	0.08615557899
240	0.08615557898
241	0.08613785193
242	0.08613498887
243	0.08611667109
244	0.08609642165
245	0.08609179319
246	0.08608321516
247	0.08607787626
248	0.08607723958
249	0.08606634901
250	0.08605119025
251	0.08603737727
252	0.08603715921
253	0.0860195873
254	0.08600960333
255	0.08598839358
256	0.08597364767
257	0.08597310282
258	0.08596220331
259	0.08595613731
260	0.08595592879
261	0.08594255898
262	0.08593057387
263	0.08591895038
264	0.08591588809
265	0.08591559327
266	0.085915409
267	0.08590386807
268	0.08590369013
269	0.08590018715
270	0.08589953061
271	0.08589609648
272	0.08587835433
273	0.08586105736
274	0.08585033025
275	0.08584345766
276	0.08583756077
277	0.08582316851
278	0.08582213831
279	0.08582208145
280	0.08582191741
281	0.08580660008
282	0.0857961287
283	0.08578501419
284	0.08578194063
285	0.08577548771
286	0.08576796434
287	0.08576181774
288	0.08574091434
289	0.08574083531
290	0.08573188188
291	0.08573178132
292	0.08572585885
293	0.08571216562
294	0.08569720096
295	0.08569706646
296	0.08569691167
297	0.08567132116
298	0.08567119736
299	0.0856571869
300	0.08563725039
301	0.08563713395
302	0.08562804133
303	0.08562610554
304	0.08562552585
305	0.08562027834
306	0.08561972142
307	0.08561957272
308	0.08561863084
309	0.08561848408
310	0.08561837844
311	0.08561435219
312	0.08559881833
313	0.08559874596
314	0.08559859841
315	0.08557348505
316	0.08555150076
317	0.08553941979
318	0.08553412284
319	0.08552654224
320	0.08552445327
321	0.08552431251
322	0.08552378653
323	0.08552315885
324	0.08552083418
325	0.08552067827
326	0.08549328539
327	0.08549315991
328	0.0854836489
329	0.08548350512
330	0.08547124322
331	0.08545523843
332	0.08544702281
